acceptability,sentence,domain
1,To please John is tough.,IN
1,John did not like Mary.,IN
0,John is not more reliable a fellow than Bill.,IN
1,Joan knew the answer.,IN
1,The baby dressed.,IN
0,Myra took Betty's snooze.,IN
0,Bill left when that no one else was awake is certain.,IN
0,The car honked down the road.,IN
1,There aren't many linguistics students here.,IN
0,The cake was been eating.,IN
1,This book is easy to read.,IN
0,The weather rained,IN
0,She said Moya liked football.,IN
1,The student knew the answers.,IN
0,it is the tall man come from the back that Mary saw the tall man come from the back.,IN
0,It is an alive fish.,IN
1,Bill's reading of Shakespeare satisfied me,IN
1,"Poseidon had run away, because the executioner murdered Hera.",IN
0,Tony bent the table with the rod.,IN
0,The magician vanished a rabbit into thin air.,IN
1,The books stood on the table.,IN
1,The knife which he threw into the sea had a gold handle.,IN
1,Sarah sang an aria.,IN
1,They gave the bicycle to me.,IN
0,Who did Herb believe the claim that cheated?,IN
0,On which I consulted with the chairman of the Select Committee was this matter.,IN
1,A man kicked the ball.,IN
1,Mary regretted that she did anything to help him.,IN
1,The tree was looked after by Kim.,IN
1,Josh gave Clay a book carefully.,IN
1,The kids laughed themselves into a frenzy.,IN
1,Which picture of himself does Mary think that John said that Susan likes?,IN
1,Calvin will not eat the beef waffles.,IN
0,I lent the book all the way to Tony.,IN
0,We are knowing this theory.,IN
0,Lilly recounted a story to remember because Holly had also recounted a story to.,IN
0,The doctor cured pneumonia from Pat.,IN
0,Steve tossed the wall with the ball.,IN
0,John convinced it to be obvious that Bill left.,IN
1,Bill gave me $40.,IN
1,How are you feeling?,IN
0,I'm sure that I ever met him.,IN
0,I wonder who Bill saw and liked Mary.,IN
1,It was this hat that Tom said Al thought you wanted me to make Jack put on.,IN
1,The judge presented the winner with a prize.,IN
0,Mary considered he to have loved her.,IN
0,I inquired John likes his beer.,IN
1,His friend kicked a ball.,IN
0,Larry hunted the foxes all.,IN
1,"The money which I will have a chance to squander amounts to $400,000.",IN
1,Mira blamed Terry for the accident.,IN
1,Heidi saw Peter's picture of her.,IN
1,Medea tried to poison her children.,IN
1,They talked to Kim and to each other.,IN
1,He's a bit of a gossip.,IN
1,This car stinks.,IN
0,Bill and Mary washed himself.,IN
0,Too many salt damages vehicles.,IN
1,"For Jenny, I intended to be present.",IN
1,We gave a fresh coat of paint to the house.,IN
1,For him to win the race would surprise them.,IN
0,I hope to can study in France.,IN
1,The paper provides many clues.,IN
1,Cynthia nibbled .,IN
1,John laid the book on the table.,IN
1,Cynthia devoured the pizza .,IN
1,a. Madeleine planned to catch the sardines and she did.,IN
1,What is to come is in this document.,IN
1,Kim alienates cats and beat his dog.,IN
1,Brian wiped the fingerprints from outside the cupboard.,IN
0,Brown equipped a camera near Jones.,IN
0,John will to kick the ball.,IN
1,Celia brushed her hair.,IN
1,That Aphrodite was so promiscuous astounded the other gods.,IN
1,I dried the clothes in the sun.,IN
1,Mary has more than two friends.,IN
1,Sodium is a little too peppy for me to want to try mixing it and water in a teacup.,IN
1,That ball hit a student.,IN
1,Peter was talking with someone but I don't know who.,IN
1,I brought John a razor to shave himself with.,IN
1,Jill embraced Sarah.,IN
1,That picture of Jenny in a rubber dress doesn't flatter her.,IN
0,The Ferrari which Pietro bought from me and Sofia adores him cost him a bundle.,IN
0,Every man surrounded the fort.,IN
1,John seemed a fool.,IN
1,Chris wants himself to win.,IN
1,Marble carves easily.,IN
1,I have some papers to grade.,IN
0,What did Bill confirm that Roger had eaten?,IN
1,Her mother wants Mary to be such an eminent woman that everyone will respect her.,IN
1,We're dancing the night away.,IN
1,What did he get the impression that the problem really was?,IN
1,Heidi thinks that the salmon flavored candy bars were eaten.,IN
1,She might be pregnant.,IN
1,Nixon's behavior gave an idea for a book to every journalist living in New York.,IN
1,This building got taller and wider than that one.,IN
1,The man loved peanut butter cookies.,IN
0,Sally eats more the stuff.,IN
0,Fred offered the ball under Molly.,IN
1,"Kathy likes astronomy, but she doesn't meteorology?",IN
1,John remained a student.,IN
1,The gardener watered the flowers.,IN
1,They may grow as much as six feet high.,IN
1,How was the plot discovered by the authorities?,IN
1,They praised the volunteers.,IN
1,Kim depends on Sandy.,IN
1,The old house collapsed.,IN
1,My uncle visited today.,IN
1,I didn't see him ever.,IN
0,John spoke to Mary French.,IN
1,I'll work on it if no one else had.,IN
1,Humans love to eat owners of pigs.,IN
1,It was believed to have disturbed him that people didn't like Fred.,IN
1,Marilyn Monroe is Norma Jeane Baker.,IN
1,We offered her a job.,IN
1,Chris must liking syntax.,IN
1,Heidi wants to kiss herself.,IN
1,"Stories about him seem to show up more on the evening news, the more that John gets upset by them.",IN
0,Some answered any question.,IN
0,I put on the table.,IN
1,The king loved peanut butter cookies.,IN
0,"Harry thinks so, although no one else thinks Sally is innocent.",IN
0,"Mary sang a song, but Lee did never.",IN
1,I disliked the boy's playing the piano loudly.,IN
1,We claimed that Perseus had killed the Gorgon,IN
0,I was happier there than I'm here.,IN
0,The book was been given by Bill by Sue.,IN
0,The change pocketed.,IN
0,I lent Tony the book halfway.,IN
1,A motorist has reported the road is blocked at Bunker Hill.,IN
1,We believe that he is quite reasonable.,IN
0,The monkeys kept forgot their lines.,IN
1,Rosemary tried to get a new car.,IN
1,I gave Leah the box.,IN
1,The picture on the wall reminded him of his country.,IN
1,"Sandy taught the children the alphabet, but only got as far as the letter `` r ''.",IN
1,Have you seen Mary? I have vP seen Mary,IN
0,John to love Mary would be doubtful.,IN
0,"Sally started running down the street, but only after José started.",IN
0,Which problem do you wonder whether John said that Mary solved?,IN
1,John intends to review the book.,IN
1,Who did you think Mary saw?,IN
1,The ugly man from Brazil found books of poems in the puddle.,IN
0,He looked up it,IN
1,I gave the book to Harvey because he asked me to.,IN
1,I had eaten the deep fried muffins.,IN
1,Through the valley ran a rushing stream.,IN
1,One bomb didn't guide and crashed.,IN
1,Maxwell isn't half the doctor that I'm certain that he would be if he studied.,IN
1,Which otter you should adopt first is unclear.,IN
1,Paul has interviewed every student who was at the scene of the crime and Kate has interviewed them too.,IN
1,They have no TV.,IN
0,I heard John's criticism of myself.,IN
1,It was for $1000 that Ann bought a first edition of Richard III.,IN
0,John not could leave the town.,IN
1,The house circuit is joined by the electric main in the basement.,IN
1,Shirley seems to have Fred promoted.,IN
1,Jack eats caviar more than he sleeps.,IN
1,She ran the car on propane from Reno to Vegas.,IN
1,Pat promised Leslie to be aggressive.,IN
0,That Tom missed the lecture was enjoyable.,IN
0,Anson left before Jenny saw himself.,IN
0,What I arranged for Jenny was to be present.,IN
1,I won't have any money.,IN
1,What the baby did was chew the biscuit.,IN
1,"When the executioner arrived, Poseidon was asleep",IN
1,Sharks seem to swim slowly in the tropics.,IN
1,To be able to buy myself a ticket to France would be a dream.,IN
0,Louis was sent a book to.,IN
0,Which did you buy the table on Kim put the book?,IN
1,Jean is likely to dance.,IN
1,"It is unreadable, guaranteed to give a headache to anyone who looks hard at the small print.",IN
0,Brown equipped a camera to Jones.,IN
0,I have any potatoes.,IN
1,Which picture of Bill did you put on his desk?,IN
1,He does not finish.,IN
1,The sofa was longer than the desk was.,IN
0,To please John is ready.,IN
1,Spray the paint onto the wall completely.,IN
1,Those books slide across the table easily.,IN
0,He impresses his friends all as pompous.,IN
0,The cup filled water.,IN
0,That barn has seven pine trees behind itself.,IN
0,I explained to fix the sink.,IN
1,They pushed the prisoners into the truck.,IN
1,John was seeing his children.,IN
0,Mary reported he to have loved her.,IN
1,Kim relies on Sandy.,IN
0,Paula swatted the cloth against the fly.,IN
1,Joe warned the class that the exam would be difficult.,IN
1,We believed John to try to leave the country.,IN
1,To improve yourself would be a good idea.,IN
1,John destroyed the house.,IN
1,Calvin has dated every girl who Jeff has.,IN
1,What the force of the wind did to the window was break it.,IN
1,I both went to the store and bought some whiskey.,IN
0,John may rain.,IN
1,The cat sauntered into the kitchen carrying a dead mouse.,IN
1,That John sold the ostrich surprised Bill.,IN
0,"He seems to become more corrupt, as any senator talks to more lobbyists.",IN
0,What was that the Vikings ate a real surprise to you?,IN
1,Jason persuaded Medea to try to run away.,IN
1,Captain Wentworth recovered the property for Mrs Smith.,IN
1,They rowed along the canals of Venice.,IN
1,Who left Bill.,IN
1,The clown's antics amused the children.,IN
0,Megan loves Jason.,IN
1,"If students study hard, teachers will be happy.",IN
1,Some happy pigs which can fly love truffles,IN
1,"Although he likes cabbage too, Fred likes eggplants.",IN
1,Someone attended every seminar.,IN
1,I lifted the books from the floor to the table.,IN
1,This item belongs to the student.,IN
1,Has Henri not studied for his exam?,IN
1,I ate a basket of apples.,IN
1,The twig and the branch broke apart.,IN
1,I think that John likes his beer.,IN
1,Which pictures of Earl did he see?,IN
1,John is carefully studying Russian.,IN
1,Lydia eloped with Wickham yesterday.,IN
1,"Though I may love her, that won't affect the grade.",IN
1,John demanded that she stop phoning him.,IN
1,There are more chemical substances involved in nerve transmission.,IN
1,A large flag fluttered.,IN
1,Agamemnon stopped Jason from casting the spell,IN
1,"His expectations are lower, the higher the stakes.",IN
1,"I want to explain exactly why the more you eat, the less you want.",IN
1,John believes him to be a nice guy.,IN
1,They wanted to leave tomorrow or on Tuesday.,IN
1,Paula hit the sticks together.,IN
1,Susan will never sing at weddings.,IN
1,The offer made Smith admire the administrators.,IN
1,John mentioned to me that the question is an issue.,IN
1,The piano was bought for Jane by Frank.,IN
1,It was the policeman that met several young students in the park last night.,IN
1,John resembles Bill.,IN
1,We spent yesterday cooking.,IN
0,Jeff has must eaten the deep fried muffin.,IN
0,He in the doorway waved to his father.,IN
1,I confused Maria with Anna.,IN
1,Smith loaned and his widow later donated a valuable collection of manuscripts to the library.,IN
1,"The more articles he reads, the fewer people he thinks will go into linguistics.",IN
1,The boat sank.,IN
1,My bother's friend learned dancing.,IN
1,The room reeked of onions.,IN
1,One of the problems was the robins.,IN
0,We think if Bill left.,IN
1,Genie intoned that she was tired,IN
0,"Handsome though I know several boys who are, I'm still going to marry Herman.",IN
1,"Every cat doesn't like mice, for example Felix doesn't.",IN
1,Someone from every city hates it.,IN
0,a pencil with that to write broke.,IN
1,The tool that Jones got was more helpful than the one that Smith got.,IN
1,Where did he tell you that he met Mary?,IN
0,John will kicked the ball.,IN
0,"Stories about himself seem to show up more on the evening news, the more that John gets upset by them.",IN
0,I differed this flyer from that flyer.,IN
1,I expect soon to see the results.,IN
1,John got sent to prison.,IN
1,The tank filled with petrol out of the pump.,IN
1,It really bites that we invaded Iraq.,IN
1,I detached that new handle from the box.,IN
1,I sent him that.,IN
0,"The money which I am discussing Sarah's claim that the company squandered amounts to $400,000.",IN
1,Bob proved this set is recursive.,IN
1,The shock touched off the explosion.,IN
0,"Tom ordered bacon, and Dick lettuce, and I think that Harry tomatoes.",IN
0,John is eager to find.,IN
1,Their expectations will be kept up with.,IN
1,Every girl who saw anything was happy.,IN
1,"This is the book of which Bill approves, and this is the one of which he doesn't.",IN
1,Tony bent Mary's arm.,IN
0,We made them are rude.,IN
1,Some of the record contains evidence of wrongdoing.,IN
1,To whom did you send the package?,IN
